"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\alexp\OneDrive\Class\TFG\FlutterFrontEnd\my_app\lib\api_service.dart", "Dart", 88, 4, 18, 110
"c:\Users\alexp\OneDrive\Class\TFG\FlutterFrontEnd\my_app\lib\custom_drawer.dart", "Dart", 64, 1, 3, 68
"c:\Users\alexp\OneDrive\Class\TFG\FlutterFrontEnd\my_app\lib\main.dart", "Dart", 15, 5, 7, 27
"c:\Users\alexp\OneDrive\Class\TFG\FlutterFrontEnd\my_app\lib\main_screen.dart", "Dart", 634, 52, 85, 771
"c:\Users\alexp\OneDrive\Class\TFG\FlutterFrontEnd\my_app\lib\navigation_origin.dart", "Dart", 4, 0, 1, 5
"c:\Users\alexp\OneDrive\Class\TFG\FlutterFrontEnd\my_app\lib\past_flights.dart", "Dart", 81, 1, 7, 89
"c:\Users\alexp\OneDrive\Class\TFG\FlutterFrontEnd\my_app\lib\photo_gallery.dart", "Dart", 61, 0, 8, 69
"c:\Users\alexp\OneDrive\Class\TFG\FlutterFrontEnd\my_app\lib\select_flight.dart", "Dart", 135, 3, 7, 145
"c:\Users\alexp\OneDrive\Class\TFG\FlutterFrontEnd\my_app\lib\video_gallery.dart", "Dart", 104, 0, 12, 116
"Total", "-", 1186, 66, 148, 1400